time,temperature,humidity,wind_speed,precipitation,hour,day,month,day_of_week,day_name,is_weekend,is_rainy,temperature_category,temp_humidity_index,wind_category,rain_intensity,is_hot
2026-09-24 00:00:00,24.8,97,7.7,0.0,0,24,9,3,Thursday,False,False,Moderate,34.5,Low,No Rain,False
2026-09-24 01:00:00,24.9,98,8.1,0.1,1,24,9,3,Thursday,False,True,Moderate,34.7,Low,Light,False
2026-09-24 02:00:00,24.6,98,8.6,4.0,2,24,9,3,Thursday,False,True,Moderate,34.400000000000006,Low,Moderate,False
2026-09-24 03:00:00,24.5,98,10.1,2.5,3,24,9,3,Thursday,False,True,Moderate,34.3,Moderate,Moderate,False
2026-09-24 04:00:00,24.4,97,9.4,0.8,4,24,9,3,Thursday,False,True,Moderate,34.1,Low,Light,False
2026-09-24 05:00:00,24.5,97,8.4,0.0,5,24,9,3,Thursday,False,False,Moderate,34.2,Low,No Rain,False
2026-09-24 06:00:00,24.5,98,10.1,0.0,6,24,9,3,Thursday,False,False,Moderate,34.3,Moderate,No Rain,False
2026-09-24 07:00:00,25.3,94,11.1,0.0,7,24,9,3,Thursday,False,False,Moderate,34.7,Moderate,No Rain,False
2026-09-24 08:00:00,26.4,89,10.9,0.0,8,24,9,3,Thursday,False,False,Moderate,35.3,Moderate,No Rain,False
2026-09-24 09:00:00,27.7,82,13.5,0.1,9,24,9,3,Thursday,False,True,Moderate,35.9,Moderate,Light,False
2026-09-24 10:00:00,28.8,79,11.3,0.0,10,24,9,3,Thursday,False,False,Moderate,36.7,Moderate,No Rain,False
2026-09-24 11:00:00,30.4,70,16.3,0.2,11,24,9,3,Thursday,False,True,Hot,37.4,Moderate,Light,False
2026-09-24 12:00:00,26.7,87,17.1,3.4,12,24,9,3,Thursday,False,True,Moderate,35.4,Moderate,Moderate,False
2026-09-24 13:00:00,26.6,93,14.0,6.9,13,24,9,3,Thursday,False,True,Moderate,35.900000000000006,Moderate,Moderate,False
2026-09-24 14:00:00,26.3,93,12.1,6.8,14,24,9,3,Thursday,False,True,Moderate,35.6,Moderate,Moderate,False
2026-09-24 15:00:00,26.9,90,10.3,0.9,15,24,9,3,Thursday,False,True,Moderate,35.9,Moderate,Light,False
2026-09-24 16:00:00,25.4,94,13.1,4.1,16,24,9,3,Thursday,False,True,Moderate,34.8,Moderate,Moderate,False
2026-09-24 17:00:00,25.6,94,11.9,0.8,17,24,9,3,Thursday,False,True,Moderate,35.0,Moderate,Light,False
2026-09-24 18:00:00,25.2,95,11.8,0.4,18,24,9,3,Thursday,False,True,Moderate,34.7,Moderate,Light,False
2026-09-24 19:00:00,25.2,95,9.9,0.1,19,24,9,3,Thursday,False,True,Moderate,34.7,Low,Light,False
2026-09-24 20:00:00,25.1,95,8.4,0.1,20,24,9,3,Thursday,False,True,Moderate,34.6,Low,Light,False
2026-09-24 21:00:00,25.0,96,9.9,0.0,21,24,9,3,Thursday,False,False,Moderate,34.6,Low,No Rain,False
2026-09-24 22:00:00,24.9,96,8.5,0.0,22,24,9,3,Thursday,False,False,Moderate,34.5,Low,No Rain,False
2026-09-24 23:00:00,24.2,97,9.5,1.6,23,24,9,3,Thursday,False,True,Moderate,33.9,Low,Light,False
2026-09-25 00:00:00,24.4,97,12.3,0.9,0,25,9,4,Friday,False,True,Moderate,34.1,Moderate,Light,False
2026-09-25 01:00:00,24.1,96,10.4,0.2,1,25,9,4,Friday,False,True,Moderate,33.7,Moderate,Light,False
2026-09-25 02:00:00,23.9,97,8.0,0.6,2,25,9,4,Friday,False,True,Moderate,33.6,Low,Light,False
2026-09-25 03:00:00,24.0,97,8.6,0.0,3,25,9,4,Friday,False,False,Moderate,33.7,Low,No Rain,False
2026-09-25 04:00:00,24.0,97,7.0,0.0,4,25,9,4,Friday,False,False,Moderate,33.7,Low,No Rain,False
2026-09-25 05:00:00,24.0,97,6.9,0.0,5,25,9,4,Friday,False,False,Moderate,33.7,Low,No Rain,False
2026-09-25 06:00:00,24.0,97,7.2,0.0,6,25,9,4,Friday,False,False,Moderate,33.7,Low,No Rain,False
2026-09-25 07:00:00,24.9,93,7.9,0.0,7,25,9,4,Friday,False,False,Moderate,34.2,Low,No Rain,False
2026-09-25 08:00:00,26.3,85,10.8,0.0,8,25,9,4,Friday,False,False,Moderate,34.8,Moderate,No Rain,False
2026-09-25 09:00:00,27.9,80,12.3,0.0,9,25,9,4,Friday,False,False,Moderate,35.9,Moderate,No Rain,False
2026-09-25 10:00:00,28.7,79,10.0,0.1,10,25,9,4,Friday,False,True,Moderate,36.6,Moderate,Light,False
2026-09-25 11:00:00,30.0,75,10.7,0.2,11,25,9,4,Friday,False,True,Moderate,37.5,Moderate,Light,False
2026-09-25 12:00:00,30.3,71,14.4,0.4,12,25,9,4,Friday,False,True,Hot,37.4,Moderate,Light,False
2026-09-25 13:00:00,27.8,86,8.0,4.9,13,25,9,4,Friday,False,True,Moderate,36.4,Low,Moderate,False
2026-09-25 14:00:00,25.8,92,17.8,7.2,14,25,9,4,Friday,False,True,Moderate,35.0,Moderate,Moderate,False
2026-09-25 15:00:00,26.8,91,8.9,0.8,15,25,9,4,Friday,False,True,Moderate,35.9,Low,Light,False
2026-09-25 16:00:00,25.9,94,12.3,2.0,16,25,9,4,Friday,False,True,Moderate,35.3,Moderate,Light,False
2026-09-25 17:00:00,25.4,96,9.7,1.0,17,25,9,4,Friday,False,True,Moderate,35.0,Low,Light,False
2026-09-25 18:00:00,25.1,96,9.4,0.3,18,25,9,4,Friday,False,True,Moderate,34.7,Low,Light,False
2026-09-25 19:00:00,25.2,96,7.2,0.1,19,25,9,4,Friday,False,True,Moderate,34.8,Low,Light,False
2026-09-25 20:00:00,25.1,96,7.2,0.0,20,25,9,4,Friday,False,False,Moderate,34.7,Low,No Rain,False
